timestamp,resolver,total,success_rate,error_rate,timeout_rate,servfail_rate
2025-03-06T23:36:14.031179,opennic2.eth-services.de,22,0.0,0.0,0.0,0.0
2025-03-06T23:36:14.031179,ns1.opennameserver.org,29,0.5517241379310345,0.0,0.0,0.0
2025-03-06T23:36:14.031179,anycast.uncensoreddns.org,22,0.5,0.0,0.0,0.0
2025-03-06T23:36:14.031179,ns3.opennameserver.org,22,0.6818181818181818,0.0,0.0,0.0
2025-03-06T23:36:14.031179,renardbleu.dev,28,0.6428571428571429,0.0,0.0,0.0
2025-03-06T23:36:14.031179,doh.seby.io,18,0.3888888888888889,0.1111111111111111,0.0,0.0
2025-03-06T23:36:14.031179,syd02.dnscry.pt,27,0.48148148148148145,0.0,0.0,0.0
2025-03-06T23:36:14.031179,syd01.dnscry.pt,26,0.6153846153846154,0.0,0.0,0.0
2025-03-06T23:36:14.031179,doh.opendns.com,12,0.0,1.0,0.0,0.0
2025-03-06T23:36:14.031179,dns.google,25,0.48,0.0,0.0,0.0
2025-03-06T23:36:14.031179,ns1.fi.dns.opennic.glue,12,0.0,1.0,0.0,0.0
2025-03-06T23:36:14.031179,dns.froth.zone,33,0.5151515151515151,0.0,0.0,0.0
2025-03-06T23:36:14.031179,tlv01.dnscry.pt,24,0.5,0.0,0.0,0.0
2025-03-06T23:36:14.031179,dnspub.restena.lu,32,0.53125,0.0,0.0,0.0
2025-03-06T23:36:14.031179,www.morbitzer.de,8,0.0,1.0,0.0,0.0
2025-03-06T23:36:14.031179,dns.bitdefender.net,16,0.5625,0.0,0.0,0.0
2025-03-06T23:36:14.031179,doh.mullvad.net,20,0.5,0.0,0.0,0.0
2025-03-06T23:36:14.031179,ns.opennameserver.org,24,0.3333333333333333,0.0,0.3333333333333333,0.0
2025-03-06T23:36:14.031179,ns4.opennameserver.org,23,0.34782608695652173,0.0,0.0,0.0
2025-03-06T23:36:14.031179,doh.ffmuc.net,21,0.42857142857142855,0.0,0.0,0.0
2025-03-06T23:36:14.031179,dns.quad9.net,21,0.42857142857142855,0.0,0.0,0.0
2025-03-06T23:36:14.031179,ns2.opennameserver.org,19,0.3684210526315789,0.0,0.0,0.0
2025-03-06T23:36:14.031179,doh.applied-privacy.net,20,0.75,0.0,0.0,0.0
2025-03-06T23:36:14.031179,doh.kekew.info,22,0.5909090909090909,0.0,0.0,0.0
2025-03-06T23:36:14.031179,doh.libredns.gr,19,0.6842105263157895,0.0,0.0,0.0
2025-03-06T23:36:14.031179,unicast.uncensoreddns.org,16,0.5,0.0,0.0,0.0
2025-03-06T23:36:14.031179,unfiltered.adguard-dns.com,17,0.35294117647058826,0.0,0.0,0.0
2025-03-06T23:36:14.031179,uncensored.dns.dnswarden.com,7,0.0,0.0,0.0,0.0
2025-03-06T23:36:14.031179,resolver.dnsprivacy.org.uk,8,0.0,0.0,0.0,0.0
2025-03-06T23:36:14.031179,dns.switch.ch,6,0.5,0.0,0.0,0.0
2025-03-06T23:36:14.031179,common.dot.dns.yandex.net,8,0.75,0.0,0.0,0.0
2025-03-06T23:36:14.031179,dns.rabbitdns.org,7,0.0,0.0,1.0,0.0
2025-03-06T23:36:14.031179,dns.pumplex.com,5,0.0,1.0,0.0,0.0
2025-03-06T23:36:14.031179,doh.qis.io,1,0.0,0.0,0.0,0.0
2025-03-06T23:42:06.885522,vpsat.schmaller.de,9,0.0,1.0,0.0,0.0
2025-03-06T23:42:06.885522,doh.dns.sb,32,0.5,0.0,0.0,0.0
2025-03-06T23:42:06.885522,opennic2.eth-services.de,22,0.0,0.0,0.0,0.0
2025-03-06T23:42:06.885522,ns1.opennameserver.org,29,0.5517241379310345,0.0,0.0,0.0
2025-03-06T23:42:06.885522,anycast.uncensoreddns.org,22,0.5,0.0,0.0,0.0
2025-03-06T23:42:06.885522,ns3.opennameserver.org,22,0.6818181818181818,0.0,0.0,0.0
2025-03-06T23:42:06.885522,renardbleu.dev,28,0.6428571428571429,0.0,0.0,0.0
